iter	Passed	Remaining
0	142	28340
1	142	14132
2	143	9395
3	143	7025
4	143	5603
5	143	4655
6	144	3978
7	144	3469
8	144	3075
9	145	2759
10	145	2500
11	145	2284
12	146	2102
13	146	1946
14	146	1811
15	147	1692
16	147	1588
17	147	1494
18	148	1411
19	148	1336
20	148	1268
21	149	1206
22	149	1150
23	149	1098
24	150	1051
25	150	1007
26	150	966
27	151	928
28	151	892
29	151	859
30	152	828
31	152	800
32	152	773
33	153	747
34	153	723
35	153	700
36	154	679
37	154	658
38	154	638
39	155	620
40	155	602
41	155	585
42	155	569
43	156	554
44	156	539
45	156	525
46	157	512
47	157	499
48	157	486
49	158	474
50	158	463
51	159	452
52	159	441
53	159	431
54	159	421
55	160	412
56	160	402
57	160	394
58	161	385
59	161	377
60	161	368
61	162	361
62	162	353
63	162	346
64	163	338
65	163	331
66	163	325
67	164	318
68	164	312
69	164	306
70	165	299
71	165	294
72	165	288
73	166	282
74	166	277
75	166	271
76	167	266
77	167	261
78	167	256
79	167	251
80	168	247
81	168	242
82	169	238
83	169	233
84	169	229
85	169	225
86	170	221
87	170	217
88	170	213
89	171	209
90	171	205
91	171	201
92	172	198
93	172	194
94	172	191
95	173	187
96	173	184
97	173	181
98	174	177
99	174	174
100	174	171
101	175	168
102	175	165
103	175	162
104	176	159
105	176	156
106	176	153
107	177	150
108	177	148
109	177	145
110	178	142
111	178	140
112	178	137
113	179	135
114	179	132
115	179	130
116	180	127
117	180	125
118	180	123
119	181	120
120	181	118
121	181	116
122	182	113
123	182	111
124	182	109
125	182	107
126	183	105
127	183	103
128	183	101
129	184	99
130	184	97
131	184	95
132	185	93
133	185	91
134	185	89
135	186	87
136	186	85
137	186	83
138	187	82
139	187	80
140	187	78
141	188	76
142	188	75
143	188	73
144	189	71
145	189	70
146	189	68
147	190	66
148	190	65
149	190	63
150	191	62
151	191	60
152	192	58
153	192	57
154	192	55
155	193	54
156	193	52
157	193	51
158	193	50
159	194	48
160	194	47
161	194	45
162	195	44
163	195	42
164	195	41
165	196	40
166	196	38
167	196	37
168	197	36
169	197	34
170	197	33
171	198	32
172	198	30
173	198	29
174	199	28
175	199	27
176	199	25
177	200	24
178	200	23
179	200	22
180	201	21
181	201	19
182	201	18
183	202	17
184	202	16
185	202	15
186	203	14
187	203	12
188	203	11
189	204	10
190	204	9
191	204	8
192	204	7
193	205	6
194	205	5
195	206	4
196	206	3
197	206	2
198	207	1
199	207	0
