iter	Passed	Remaining
0	0	671
1	1	582
2	1	550
3	2	529
4	2	519
5	3	510
6	3	507
7	4	502
8	4	498
9	4	494
10	5	491
11	5	492
12	6	490
13	6	488
14	7	486
15	7	484
16	8	482
17	8	480
18	9	478
19	9	477
20	10	475
21	10	475
22	11	473
23	11	472
24	12	472
25	12	471
26	13	470
27	13	468
28	13	467
29	14	466
30	14	466
31	15	465
32	15	464
33	16	463
34	16	463
35	17	462
36	17	463
37	18	466
38	18	467
39	19	466
40	19	465
41	20	465
42	20	464
43	21	463
44	21	463
45	22	462
46	22	461
47	23	461
48	23	460
49	24	460
50	24	459
51	25	459
52	25	458
53	26	457
54	26	456
55	27	456
56	27	455
57	27	454
58	28	453
59	28	452
60	29	452
61	29	451
62	30	451
63	30	451
64	31	451
65	31	450
66	32	450
67	32	449
68	33	449
69	33	448
70	34	447
71	34	447
72	35	446
73	35	446
74	36	445
75	36	448
76	37	447
77	37	446
78	38	446
79	38	445
80	39	444
81	39	444
82	39	441
83	40	440
84	40	439
85	41	439
86	41	439
87	42	438
88	42	438
89	43	437
90	43	437
91	44	436
92	45	441
93	45	441
94	46	442
95	46	442
96	47	441
97	47	441
98	48	440
99	48	439
100	49	440
101	49	439
102	50	439
103	50	439
104	51	438
105	51	437
106	52	437
107	52	437
108	53	436
109	53	436
110	54	436
111	54	435
112	55	436
113	56	437
114	56	436
115	57	436
116	57	435
117	58	434
118	58	434
119	59	433
120	59	432
121	59	431
122	60	430
123	60	430
124	61	430
125	62	430
126	62	428
127	62	428
128	63	427
129	63	427
130	64	426
131	64	425
132	65	425
133	65	424
134	66	424
135	66	423
136	67	422
137	67	422
138	68	422
139	68	422
140	69	422
141	69	421
142	70	421
143	70	421
144	71	420
145	71	420
146	72	420
147	72	420
148	73	419
149	74	420
150	74	420
151	75	419
152	75	419
153	76	418
154	76	418
155	77	417
156	77	417
157	78	416
158	78	415
159	79	415
160	79	413
161	79	413
162	80	412
163	80	412
164	81	411
165	81	411
166	82	410
167	82	410
168	83	409
169	83	408
170	84	408
171	84	407
172	85	407
173	85	406
174	86	407
175	86	406
176	87	406
177	87	405
178	88	404
179	88	404
180	89	403
181	89	403
182	90	402
183	90	401
184	91	401
185	91	400
186	91	399
187	92	399
188	93	399
189	93	398
190	93	398
191	94	397
192	94	396
193	95	396
194	95	395
195	96	395
196	96	394
197	97	394
198	97	393
199	98	392
200	98	392
201	99	391
202	99	391
203	100	390
204	100	390
205	101	389
206	101	389
207	102	388
208	102	388
209	102	387
210	103	386
211	103	386
212	104	385
213	104	385
214	105	385
215	105	384
216	106	383
217	106	383
218	107	382
219	107	382
220	108	381
221	108	381
222	109	380
223	109	379
224	110	379
225	110	378
226	111	378
227	111	377
228	112	377
229	112	376
230	113	376
231	113	375
232	113	375
233	114	374
234	114	373
235	115	373
236	115	372
237	116	372
238	116	371
239	117	371
240	117	370
241	118	369
242	118	369
243	119	368
244	119	368
245	120	367
246	120	367
247	120	366
248	121	366
249	121	365
250	122	364
251	122	364
252	123	363
253	123	363
254	124	362
255	124	362
256	125	361
257	125	361
258	126	360
259	126	360
260	127	359
261	127	359
262	128	358
263	128	358
264	129	358
265	129	358
266	130	357
267	130	357
268	131	356
269	131	356
270	132	355
271	132	355
272	133	354
273	133	354
274	134	353
275	134	353
276	135	352
277	135	352
278	136	351
279	136	351
280	137	351
281	137	350
282	138	350
283	138	349
284	139	348
285	139	348
286	140	347
287	140	347
288	141	346
289	141	346
290	142	346
291	142	345
292	143	345
293	143	344
294	144	344
295	144	343
296	145	343
297	145	342
298	145	342
299	146	341
300	146	341
301	147	340
302	147	340
303	148	339
304	149	339
305	149	339
306	150	338
307	150	338
308	151	337
309	151	337
310	151	336
311	152	336
312	152	335
313	153	335
314	153	334
315	154	334
316	154	333
317	155	333
318	155	332
319	156	332
320	156	331
321	157	331
322	157	330
323	158	330
324	158	329
325	159	329
326	159	328
327	160	328
328	160	327
329	161	327
330	161	326
331	162	326
332	162	325
333	163	325
334	163	324
335	164	324
336	164	323
337	165	323
338	165	322
339	166	322
340	166	321
341	167	321
342	167	320
343	168	320
344	168	319
345	169	319
346	169	318
347	169	318
348	170	317
349	170	317
350	171	316
351	171	316
352	172	315
353	172	315
354	173	314
355	173	314
356	174	313
357	174	313
358	175	312
359	175	312
360	176	311
361	176	311
362	177	310
363	177	310
364	178	309
365	178	309
366	179	308
367	179	308
368	180	308
369	180	307
370	181	307
371	181	306
372	182	306
373	182	305
374	183	305
375	183	304
376	184	304
377	184	303
378	185	303
379	185	302
380	186	302
381	186	301
382	187	301
383	187	300
384	188	300
385	188	299
386	189	299
387	189	298
388	189	298
389	190	297
390	190	297
391	191	297
392	192	296
393	192	296
394	193	295
395	193	295
396	193	294
397	194	294
398	194	293
399	195	293
400	195	292
401	196	292
402	196	291
403	197	290
404	197	290
405	198	290
406	198	289
407	199	289
408	199	288
409	200	288
410	200	287
411	201	286
412	201	286
413	202	285
414	202	285
415	202	284
416	203	284
417	203	284
418	204	283
419	205	283
420	205	282
421	206	282
422	206	281
423	207	281
424	207	281
425	208	280
426	208	280
427	209	279
428	210	279
429	210	279
430	211	279
431	211	278
432	212	278
433	213	277
434	213	277
435	214	277
436	214	276
437	215	276
438	216	276
439	216	276
440	217	275
441	217	275
442	218	274
443	218	274
444	219	273
445	219	273
446	220	272
447	220	272
448	221	271
449	221	271
450	222	270
